"#","","Invio","Attenzione","Cod.","Diff.","Descrizione","Assort.","Cod.","Diff.","Marchio","Cons.","UMP","UMO","N.imb.","Pz x collo","Peso","Qta","O","Inviate","No ordine","OS attive","09/08","08/08","07/08","06/08","05/08","04/08","03/08","Disponibilita'","UM","Imballo","N.Imb.Strati","N.Strati","Costo","Vendita","Costo","Vendita","%ML","Corsia","N.Ordine host","Reparto","Liv.1","Liv.2","Liv.3","Liv.4","Merceologia"
"undefined","","true","","26.620,00","1,00","TRANCI DI VERDESCA S/P 500G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","","","0 | 1","0 | 1","0 | 1","","Si"," ","0,00","0,00","0,00","€ 2,25","€ 3,69","€ 22,50","€ 36,90","0,33%","","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE"
"undefined","","true","","27.383,00","1,00","POLPO PULITO 500G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","9,00","","undefined","","0,00","0,00","0,00","","","","","","","","Si"," ","0,00","0,00","0,00","€ 5,30","€ 7,99","€ 47,70","€ 71,91","0,27%","","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE"
"undefined","","true","","1.044,00","1,00","COZZE SGUSCIATE PESCARE'250G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","1 | 0","","0 | 1","","0 | 1","","Si"," ","0,00","0,00","0,00","€ 1,40","€ 2,09","€ 16,80","€ 25,08","0,26%","","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE"
"undefined","","true","","25.872,00","1,00","GRANFRITTO DI MARE 300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","1 | 0","","","0 | 1","0 | 1","","Si"," ","0,00","0,00","0,00","€ 2,53","€ 3,99","€ 15,18","€ 23,94","0,3%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","26.364,00","1,00","FISH & CHIPS PASTELLATO 400G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","1 | 0","","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,25","€ 3,99","€ 13,50","€ 23,94","0,38%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","30.865,00","1,00","FILETTO MERLUZZO ALLA GRIGLIA 250G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","","","0 | 1","","","","Si"," ","0,00","0,00","0,00","€ 2,50","€ 3,99","€ 25,00","€ 39,90","0,31%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","31.077,00","1,00","FIL.MERLUZZO GRATINATO LIM/PREZ.40","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","","","","","","","Si"," ","0,00","0,00","0,00","€ 2,39","€ 3,59","€ 23,90","€ 35,90","0,27%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","31.077,00","2,00","FIL.MERLUZZO GRATINATO POM/BAS.400","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","","","","","","","Si","","0,00","0,00","0,00","€ 2,39","€ 3,59","€ 23,90","€ 35,90","0,27%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","32.821,00","1,00","FRITTELLE ALGHE DI MARE 500G CUCINO","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","1 | 0","","0 | 1","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,66","€ 2,89","€ 9,96","€ 17,34","0,37%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","33.120,00","1,00","NUGGETS DI MERLUZZO GRATINATI 225G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","","","","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,77","€ 2,99","€ 21,24","€ 35,88","0,35%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","20.429,00","1,00","FIORI DI ZUCCA IN PASTELLA 300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","15,00","","undefined","","0,00","0,00","0,00","","","0 | 1","","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 2,21","€ 3,69","€ 33,15","€ 55,35","0,34%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
"undefined","","true","","26.230,00","1,00","ALICI DEL MEDITERRANEO PANATE 200G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","8,00","","undefined","","0,00","0,00","0,00","","1 | 0","","","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,90","€ 2,99","€ 15,20","€ 23,92","0,3%","","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO"
