"#","Errore","Invio","Attenzione","Cod.","Diff.","Descrizione","Assort.","Cod.","Diff.","Marchio","Cons.","UMP","UMO","N.imb.","Pz x collo","Peso","Qta","O","Inviate","No ordine","OS attive","18/07","17/07","16/07","15/07","14/07","13/07","12/07","Disponibilita'","UM","Imballo","N.Imb.Strati","N.Strati","Costo","Vendita","Costo","Vendita","%ML","Corsia","N.Ordine host","Reparto","Liv.1","Liv.2","Liv.3","Liv.4","Merceologia","Testa","Num.","Prog.","Riga","Data"
"undefined","No","true","","17.772,00","1,00","8 BISCOTTI TONDI VAN/CAC LOVIN.280G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","","0 | 1","","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,68","€ 2,99","€ 10,08","€ 17,94","38,19%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","230,00","18/07/2025"
"undefined","No","true","","33.310,00","1,00","4 BISCOTTI YOGURT GRECO 280G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","","","","Si"," ","0,00","0,00","0,00","€ 2,32","€ 3,89","€ 23,20","€ 38,90","34,4%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","240,00","18/07/2025"
"undefined","No","true","","24.401,00","1,00","4 COPPE AMARENA 350G LOVING","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","4,00","","undefined","","0,00","0,00","0,00","","","","0 | 1","","","","Si","","0,00","0,00","0,00","€ 2,18","€ 3,59","€ 8,72","€ 14,36","33,2%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","250,00","18/07/2025"
"undefined","No","true","","11.190,00","1,00","6 COPPETTE PANNA/CIOCCOLATO 300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","2,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 0","","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,65","€ 2,69","€ 19,80","€ 32,28","32,53%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","260,00","18/07/2025"
"undefined","No","true","","1.374,00","1,00","8 SANDWICH LOVING 400G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","2,00","8,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,71","€ 2,59","€ 27,36","€ 41,44","27,37%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","270,00","18/07/2025"
"undefined","No","true","","13.292,00","1,00","6 MAXISANDWICH LOVING  480G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","2,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","3 | 1","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,99","€ 3,09","€ 23,88","€ 37,08","29,16%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","280,00","18/07/2025"
"undefined","No","true","","30.760,00","1,00","4 CONI TWIRL PANNA/CIOCC. 280G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","","1 | 1","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 1,63","€ 2,69","€ 9,78","€ 16,14","33,35%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","290,00","18/07/2025"
"undefined","No","true","","35.947,00","1,00","CONI PANNA S/GLUTINE 4X75G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","","0 | 1","0 | 1","","0 | 1","","Si"," ","0,00","0,00","0,00","€ 2,01","€ 2,99","€ 12,06","€ 17,94","26,05%","/////","","SURGELATI","3,00","43,00","10,00","10,00","SURGELATI / GELATI-LINEA SENZA GLUTINE SURGELATI-SENZA GLUTINE SURGELATI-LINEA SENZA GLUTINE SURGELATI","23","1.641.908,00","1,00","300,00","18/07/2025"
"undefined","No","true","","13.554,00","1,00","6 GRANCONO MIX LOVING 450G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","2,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","3 | 1","0 | 2","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,56","€ 3,99","€ 30,72","€ 47,88","29,42%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","310,00","18/07/2025"
"undefined","No","true","","24.402,00","2,00","6 CONI PANNA VAR.AMARENA 450G LOVIN","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","2 | 1","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,33","€ 3,49","€ 13,98","€ 20,94","26,56%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","320,00","18/07/2025"
"undefined","No","true","","24.402,00","1,00","6 CONI PANNA/CIOCCOLATO 450G LOVING","I IN ASSORTIMENTO","","","Si","No","PZ","IC","4,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,15","€ 3,49","€ 51,60","€ 83,76","32,23%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","330,00","18/07/2025"
"undefined","No","true","","35.559,00","1,00","6 CONI CAFFE' 450G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","3 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,19","€ 2,99","€ 13,14","€ 17,94","19,43%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","340,00","18/07/2025"
"undefined","No","true","","32.500,00","1,00","6 CONI PANNA GR 420 LOVING","I IN ASSORTIMENTO","","","No","No","PZ","IC","6,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 2","0 | 1","3 | 2","0 | 1","0 | 1","0 | 2","Si"," ","0,00","0,00","0,00","€ 1,87","€ 2,69","€ 67,32","€ 96,84","23,53%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","350,00","18/07/2025"
"undefined","Si","true","Si","24.358,00","1,00","TORTA GELATO PANNA CIOCC. 450G LOV","S SOSPESO LISTINO/NO COMUNIC.VAR","","","Si","No","PZ","IC","2,00","4,00","","undefined","","0,00","0,00","0,00","","","","","","","","No","","0,00","0,00","0,00","€ 3,09","€ 4,89","€ 24,72","€ 39,12","30,49%","/////","","SURGELATI","3,00","21,00","11,00","20,00","SURGELATI / GELATI-GELATI-GELATI-VASCHETTA","  ","0,00","0,00","0,00",""
"undefined","Si","true","Si","11.487,00","2,00","TARTUFO AL CIOCCOLATO LOVING 2X80G","S SOSPESO LISTINO/NO COMUNIC.VAR","","","Si","No","PZ","IC","3,00","6,00","","undefined","","0,00","0,00","0,00","","","","","","","","No","","0,00","0,00","0,00","€ 1,45","€ 1,99","€ 26,10","€ 35,82","19,85%","/////","","SURGELATI","3,00","21,00","11,00","20,00","SURGELATI / GELATI-GELATI-GELATI-VASCHETTA","  ","0,00","0,00","0,00",""
"undefined","No","true","","11.487,00","1,00","TARTUFO BIANCO LOVING  2X80G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 1","","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,45","€ 1,99","€ 8,70","€ 11,94","19,85%","/////","","SURGELATI","3,00","21,00","11,00","20,00","SURGELATI / GELATI-GELATI-GELATI-VASCHETTA","23","1.641.908,00","1,00","360,00","18/07/2025"
"undefined","No","true","","36.771,00","2,00","BABA'MIGNON RHUM 180G","S SOSPESO LISTINO/NO COMUNIC.VAR","","","No","No","PZ","IC","1,00","9,00","","undefined","","0,00","0,00","0,00","","","","","","","","Si"," ","0,00","0,00","0,00","€ 2,92","€ 4,69","€ 26,28","€ 42,21","31,51%","/////","","SURGELATI","3,00","21,00","11,00","10,00","SURGELATI / GELATI-GELATI-GELATI-MULTIPACK","23","1.641.908,00","1,00","370,00","18/07/2025"
"undefined","No","true","","9.051,00","1,00","DESSERT CREMA CAFFE' LOVING 320G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","9,00","","undefined","","0,00","0,00","0,00","","","","","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,35","€ 1,89","€ 12,15","€ 17,01","21,43%","/////","","SURGELATI","3,00","21,00","11,00","20,00","SURGELATI / GELATI-GELATI-GELATI-VASCHETTA","23","1.641.908,00","1,00","380,00","18/07/2025"
"undefined","No","true","","9.051,00","2,00","DESSERT VANIGLIA CACAO LOVING 320G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","9,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,35","€ 1,89","€ 12,15","€ 17,01","21,43%","/////","","SURGELATI","3,00","21,00","11,00","20,00","SURGELATI / GELATI-GELATI-GELATI-VASCHETTA","23","1.641.908,00","1,00","390,00","18/07/2025"
"undefined","No","true","","18.294,00","1,00","TORTA GELATO S.HONORE'12/14PORZ 1KG","I IN ASSORTIMENTO","","","No","No","PZ","IC","3,00","1,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","2 | 1","0 | 1","","0 | 2","Si"," ","0,00","0,00","0,00","€ 7,74","€ 11,90","€ 23,22","€ 35,70","28,45%","/////","","SURGELATI","3,00","21,00","11,00","20,00","SURGELATI / GELATI-GELATI-GELATI-VASCHETTA","23","1.641.908,00","1,00","400,00","18/07/2025"
