"#","Errore","Invio","Attenzione","Cod.","Diff.","Descrizione","Assort.","Cod.","Diff.","Marchio","Cons.","UMP","UMO","N.imb.","Pz x collo","Peso","Qta","O","Inviate","No ordine","OS attive","18/07","17/07","16/07","15/07","14/07","13/07","12/07","Disponibilita'","UM","Imballo","N.Imb.Strati","N.Strati","Costo","Vendita","Costo","Vendita","%ML","Corsia","N.Ordine host","Reparto","Liv.1","Liv.2","Liv.3","Liv.4","Merceologia","Testa","Num.","Prog.","Riga","Data"
"undefined","No","true","","26.858,00","1,00","BOCCONCINI SCAMORZINE PANATE 200G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 2,01","€ 3,29","€ 20,10","€ 32,90","36,46%","/////","","SURGELATI","3,00","11,00","11,00","40,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-ALTRE VERDURE","23","1.641.908,00","1,00","910,00","18/07/2025"
"undefined","No","true","","28.897,00","2,00","PANCIOTTELLI PROSC.FORMAGGIO 250G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","8,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","","0 | 1","0 | 1","","Si"," ","0,00","0,00","0,00","€ 0,88","€ 1,25","€ 7,04","€ 10,00","22,56%","/////","","SURGELATI","3,00","11,00","15,00","30,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-ALTRI SURGELATI","23","1.641.908,00","1,00","920,00","18/07/2025"
"undefined","No","true","","27.692,00","1,00","MIX SALATINI E PIZZETTE 400G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 0","","","","Si"," ","0,00","0,00","0,00","€ 1,95","€ 2,99","€ 11,70","€ 17,94","28,26%","/////","","SURGELATI","3,00","11,00","15,00","10,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-SNACKS","23","1.641.908,00","1,00","930,00","18/07/2025"
"undefined","No","true","","26.859,00","1,00","MINI TOAST PROSCIUT/MOZZAR. 180G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,50","€ 2,69","€ 15,00","€ 26,90","38,66%","/////","","SURGELATI","3,00","11,00","15,00","10,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-SNACKS","23","1.641.908,00","1,00","940,00","18/07/2025"
"undefined","No","true","","609,00","1,00","BASTONCINI DI MERLUZZO 900G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","5,00","","undefined","","0,00","0,00","0,00","","","0 | 1","0 | 1","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 2,99","€ 4,49","€ 14,95","€ 22,45","26,75%","/////","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO","23","1.641.908,00","1,00","950,00","18/07/2025"
"undefined","No","true","","31.079,00","1,00","18 BASTONCINI FILETTO MERLUZZO 450G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","","1 | 1","","","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,36","€ 2,79","€ 23,60","€ 27,90","6,95%","/////","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO","23","1.641.908,00","1,00","960,00","18/07/2025"
"undefined","No","true","","27.552,00","1,00","FILETTO DI PLATESSA IMPANATA 300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","9,00","","undefined","","0,00","0,00","0,00","","0 | 1","","0 | 1","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 2,35","€ 3,59","€ 21,15","€ 32,31","27,99%","/////","","SURGELATI","3,00","11,00","13,00","20,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-PREPARATO","23","1.641.908,00","1,00","970,00","18/07/2025"
"undefined","No","true","","32.770,00","1,00","CUORI DI FILETTO DI NASELLO 330G","I IN ASSORTIMENTO","","","No","No","PZ","IC","2,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,70","€ 3,99","€ 54,00","€ 79,80","25,56%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","980,00","18/07/2025"
"undefined","No","true","","17.205,00","1,00","FILETTI DI BACCALA' GR 400","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","0 | 1","","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 4,80","€ 6,29","€ 57,60","€ 75,48","16,06%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","990,00","18/07/2025"
"undefined","No","true","","591,00","1,00","MERLUZZO DECAPITATO P.V. PESCARE'","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","1,00","","undefined","","0,00","0,00","0,00","","","","0 | 1","0 | 2","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 26,01","€ 6,89","€ 26,01","€ 41,34","30,79%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.000,00","18/07/2025"
"undefined","No","true","","17.367,00","1,00","CALAMARI INTERI PULITI 400G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","","","","","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 3,53","€ 5,49","€ 21,18","€ 32,94","29,27%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.010,00","18/07/2025"
"undefined","No","true","","595,00","1,00","GAMBERETTI SGUSCIATI 330/300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","0 | 1","1 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,26","€ 3,19","€ 27,12","€ 38,28","22,07%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.020,00","18/07/2025"
"undefined","Si","true","Si","1.084,00","1,00","SEPPIE PULITE 400G","I IN ASSORTIMENTO","","","No","No","PZ","IC","2,00","12,00","","undefined","","0,00","0,00","0,00","","","","","","","","No"," ","0,00","0,00","0,00","€ 2,93","€ 4,69","€ 70,32","€ 112,56","31,28%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","  ","0,00","0,00","0,00",""
"undefined","Si","true","Si","32.045,00","1,00","VONGOLE DEL PACIFICO C/GUSCIO 1K","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","","0 | 1","0 | 1","","0 | 1","","No"," ","0,00","0,00","0,00","€ 2,84","€ 4,59","€ 28,40","€ 45,90","31,94%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","  ","0,00","0,00","0,00",""
"undefined","No","true","","22.155,00","1,00","VONGOLE C/GUSCIO DEL PACIFICO 500G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","","","","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,59","€ 2,59","€ 15,90","€ 25,90","32,47%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.030,00","18/07/2025"
"undefined","No","true","","36.474,00","1,00","CODE GAMBERI ARGENTINI SGUS.240G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","20,00","","undefined","","0,00","0,00","0,00","","","0 | 1","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 3,71","€ 5,99","€ 74,20","€ 119,80","31,87%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.040,00","18/07/2025"
"undefined","No","true","","1.044,00","1,00","COZZE SGUSCIATE PESCARE'250G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","0 | 1","0 | 1","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,40","€ 2,09","€ 16,80","€ 25,08","26,32%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.050,00","18/07/2025"
"undefined","No","true","","14.306,00","1,00","GAMBERI ZUCCHINE C/POM.PESCARE'300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,86","€ 2,99","€ 18,60","€ 29,90","31,57%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.060,00","18/07/2025"
"undefined","No","true","","1.505,00","1,00","PESCE X SPAGHETTATA PESCARE'300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,08","€ 2,99","€ 24,96","€ 35,88","23,48%","/////","","SURGELATI","3,00","11,00","13,00","10,00","SURGELATI / GELATI-SURGELATI-PESCE SURGELATO-NATURALE","23","1.641.908,00","1,00","1.070,00","18/07/2025"
"undefined","No","true","","12.654,00","2,00","GRAN SUGO AI FRUTTI DI MARE  300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","0 | 1","1 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,81","€ 2,49","€ 18,10","€ 24,90","20,04%","/////","","SURGELATI","3,00","11,00","15,00","30,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-ALTRI SURGELATI","23","1.641.908,00","1,00","1.080,00","18/07/2025"
"undefined","No","true","","12.654,00","5,00","GRAN SUGO AI GAMBERI 250G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","0 | 1","","","0 | 1","0 | 1","","Si"," ","0,00","0,00","0,00","€ 1,85","€ 2,79","€ 18,50","€ 27,90","27,06%","/////","","SURGELATI","3,00","11,00","15,00","30,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-ALTRI SURGELATI","23","1.641.908,00","1,00","1.090,00","18/07/2025"
"undefined","No","true","","10.438,00","1,00","GNOCCHETTI ALLA SORRENTINA 550G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","14,00","","undefined","","0,00","0,00","0,00","","","","","0 | 1","","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,50","€ 1,99","€ 21,00","€ 27,86","17,09%","/////","","SURGELATI","3,00","11,00","15,00","30,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-ALTRI SURGELATI","23","1.641.908,00","1,00","1.100,00","18/07/2025"
"undefined","No","true","","26.390,00","1,00","LASAGNA ALLA BOLOGNESE GR 600","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","8,00","","undefined","","0,00","0,00","0,00","","","0 | 1","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 2,29","€ 3,29","€ 18,32","€ 26,32","23,43%","/////","","SURGELATI","3,00","11,00","15,00","30,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-ALTRI SURGELATI","23","1.641.908,00","1,00","1.110,00","18/07/2025"
"undefined","Si","true","Si","34.018,00","1,00","COTOLETTE DI POLLO 2X90 G","S SOSPESO LISTINO/NO COMUNIC.VAR","","","Si","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","0 | 1","","0 | 1","","","No"," ","0,00","0,00","0,00","€ 1,11","€ 1,79","€ 13,32","€ 21,48","31,79%","/////","","SURGELATI","3,00","11,00","15,00","30,00","SURGELATI / GELATI-SURGELATI-ALTRI SURGELATI-ALTRI SURGELATI","  ","0,00","0,00","0,00",""
"undefined","No","true","","36.486,00","1,00","RAVIOLI DI CARNE AL VAPORE 150G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","","","","","","","Si"," ","0,00","0,00","0,00","€ 2,09","€ 3,09","€ 12,54","€ 18,54","25,6%","/////","","SURGELATI","3,00","12,00","12,00","1,00","SURGELATI / GELATI-LINEA SURGELATI ETNICI-LINEA SURGELATI ETNICI-LINEA SURGELATI ETNICI","23","1.641.908,00","1,00","1.120,00","18/07/2025"
"undefined","No","true","","27.445,00","1,00","INVOLTINO PRIMAVERA 180G","I IN ASSORTIMENTO","","","No","No","PZ","IC","1,00","6,00","","undefined","","0,00","0,00","0,00","","","","","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 2,03","€ 3,09","€ 12,18","€ 18,54","27,73%","/////","","SURGELATI","3,00","12,00","12,00","1,00","SURGELATI / GELATI-LINEA SURGELATI ETNICI-LINEA SURGELATI ETNICI-LINEA SURGELATI ETNICI","23","1.641.908,00","1,00","1.130,00","18/07/2025"
"undefined","Si","true","Si","35.269,00","1,00","BURGER VEGAN AI CECI 2X75 VERDE AMO","E AD ESAURIMENTO","","","No","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","","","","0 | 1","","No","","0,00","0,00","0,00","€ 1,54","€ 2,49","€ 18,48","€ 29,88","31,97%","/////","","SURGELATI","3,00","42,00","10,00","10,00","SURGELATI / GELATI-LINEA VEGANA SURGELATI-LINEA VEGANA SURGELATI-LINEA VEGANA SURGELATI","  ","0,00","0,00","0,00",""
"undefined","No","true","","35.597,00","1,00","10 BASTONCINI DI VERDURE 300G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","10,00","","undefined","","0,00","0,00","0,00","","","","0 | 1","0 | 1","0 | 1","0 | 1","Si"," ","0,00","0,00","0,00","€ 1,10","€ 1,65","€ 11,00","€ 16,50","26,67%","/////","","SURGELATI","3,00","42,00","10,00","10,00","SURGELATI / GELATI-LINEA VEGANA SURGELATI-LINEA VEGANA SURGELATI-LINEA VEGANA SURGELATI","23","1.641.908,00","1,00","1.140,00","18/07/2025"
"undefined","No","true","","10.246,00","1,00","SPINACI FORMAGGIO/MOZZARELLA 450G","I IN ASSORTIMENTO","","","Si","No","PZ","IC","1,00","12,00","","undefined","","0,00","0,00","0,00","","","0 | 1","","0 | 1","","","Si"," ","0,00","0,00","0,00","€ 1,76","€ 2,99","€ 21,12","€ 35,88","35,25%","/////","","SURGELATI","3,00","11,00","11,00","40,00","SURGELATI / GELATI-SURGELATI-VERDURE SURGELATE-ALTRE VERDURE","23","1.641.908,00","1,00","1.150,00","18/07/2025"
"","","","","","","","","","","","","","","Sum: 176","","","","","","","","","","","","","","","","","","","","","","Tot: € 2.485,19","Tot: € 3.892,65","","","","","","","","","","","","","",""
